team_id,team,team_abv,player_id
109,Arizona Diamondbacks,ARI,AZ
144,Atlanta Braves,ATL,ATL
110,Baltimore Orioles,BAL,BAL
111,Boston Red Sox,BOS,BOS
112,Chicago Cubs,CHC,CHC
145,Chicago White Sox,CHW,CWS
113,Cincinnati Reds,CIN,CIN
114,Cleveland Guardians,CLE,CLE
115,Colorado Rockies,COL,COL
116,Detroit Tigers,DET,DET
117,Houston Astros,HOU,HOU
118,Kansas City Royals,KCR,KC
108,Los Angeles Angels,LAA,LAA
119,Los Angeles Dodgers,LAD,LAD
146,Miami Marlins,MIA,MIA
158,Milwaukee Brewers,MIL,MIL
142,Minnesota Twins,MIN,MIN
121,New York Mets,NYM,NYM
147,New York Yankees,NYY,NYY
133,Oakland Athletics,OAK,OAK
143,Philadelphia Phillies,PHI,PHI
134,Pittsburgh Pirates,PIT,PIT
135,San Diego Padres,SDP,SD
137,San Francisco Giants,SFG,SF
136,Seattle Mariners,SEA,SEA
138,St. Louis Cardinals,STL,STL
139,Tampa Bay Rays,TBR,TB
140,Texas Rangers,TEX,TEX
141,Toronto Blue Jays,TOR,TOR
120,Washington Nationals,WSN,WSH
